Historical Adjusted Price Data,,,,,,
"Actual historical data, 02-Jan-2023 to 31-Dec-2025. Stocks: Yahoo Finance/yfinance-derived adjusted prices. NIFTY 50: ^NSEI historical index close (for an index, Close is the adjusted-price series).",,,,,,
,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,NIFTY 50
02-Jan-2023,"₹1,170.48",₹770.93,"₹2,893.56",₹880.65,"₹1,368.10","₹18,197.45"
03-Jan-2023,"₹1,161.91",₹775.97,"₹2,937.83",₹879.57,"₹1,366.80","₹18,232.55"
04-Jan-2023,"₹1,144.42",₹762.10,"₹2,940.76",₹877.38,"₹1,341.88","₹18,042.95"
05-Jan-2023,"₹1,142.37",₹757.20,"₹2,937.61",₹857.91,"₹1,324.29","₹17,992.15"
06-Jan-2023,"₹1,152.76",₹754.69,"₹2,849.29",₹849.08,"₹1,300.32","₹17,859.45"
09-Jan-2023,"₹1,179.97",₹756.16,"₹2,945.46",₹852.25,"₹1,332.59","₹18,101.20"
10-Jan-2023,"₹1,162.53",₹742.34,"₹2,915.70",₹840.54,"₹1,319.40","₹17,914.15"
11-Jan-2023,"₹1,147.87",₹753.03,"₹2,953.22",₹845.37,"₹1,320.74","₹17,895.70"
12-Jan-2023,"₹1,123.08",₹757.06,"₹2,958.24",₹839.86,"₹1,329.14","₹17,858.20"
13-Jan-2023,"₹1,121.27",₹757.65,"₹2,993.90",₹852.35,"₹1,349.83","₹17,956.60"
16-Jan-2023,"₹1,110.59",₹750.38,"₹3,025.21",₹844.35,"₹1,369.44","₹17,894.85"
17-Jan-2023,"₹1,126.36",₹761.56,"₹3,065.45",₹844.25,"₹1,382.01","₹18,053.30"
18-Jan-2023,"₹1,124.49",₹775.00,"₹3,075.97",₹848.49,"₹1,387.31","₹18,165.35"
19-Jan-2023,"₹1,123.29",₹778.22,"₹3,060.64",₹845.22,"₹1,381.47","₹18,107.85"
20-Jan-2023,"₹1,109.93",₹786.19,"₹3,051.57",₹849.32,"₹1,369.49","₹18,027.65"
23-Jan-2023,"₹1,104.32",₹791.94,"₹3,098.57",₹850.64,"₹1,389.64","₹18,118.55"
24-Jan-2023,"₹1,097.80",₹802.55,"₹3,117.98",₹849.71,"₹1,393.14","₹18,118.30"
25-Jan-2023,"₹1,082.62",₹780.37,"₹3,112.04",₹834.64,"₹1,385.15","₹17,891.95"
