Daily Returns & Portfolio Return,,,,,,,
Daily return = Current Price / Previous Price − 1. Portfolio return = weighted sum of stock returns.,,,,,,,
,,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,Portfolio Return,NIFTY 50
02-Jan-2023,-,-,-,-,-,-,-
03-Jan-2023,(0.73%),0.65%,1.53%,(0.12%),(0.10%),0.25%,0.19%
04-Jan-2023,(1.51%),(1.79%),0.10%,(0.25%),(1.82%),(1.11%),(1.04%)
05-Jan-2023,(0.18%),(0.64%),(0.11%),(2.22%),(1.31%),(0.76%),(0.28%)
06-Jan-2023,0.91%,(0.33%),(3.01%),(1.03%),(1.81%),(0.88%),(0.74%)
09-Jan-2023,2.36%,0.19%,3.38%,0.37%,2.48%,1.74%,1.35%
10-Jan-2023,(1.48%),(1.83%),(1.01%),(1.37%),(0.99%),(1.38%),(1.03%)
11-Jan-2023,(1.26%),1.44%,1.29%,0.57%,0.10%,0.40%,(0.10%)
12-Jan-2023,(2.16%),0.53%,0.17%,(0.65%),0.64%,(0.37%),(0.21%)
13-Jan-2023,(0.16%),0.08%,1.21%,1.49%,1.56%,0.68%,0.55%
16-Jan-2023,(0.95%),(0.96%),1.05%,(0.94%),1.45%,(0.19%),(0.34%)
17-Jan-2023,1.42%,1.49%,1.33%,(0.01%),0.92%,1.13%,0.89%
18-Jan-2023,(0.17%),1.77%,0.34%,0.50%,0.38%,0.60%,0.62%
19-Jan-2023,(0.11%),0.42%,(0.50%),(0.39%),(0.42%),(0.14%),(0.32%)
20-Jan-2023,(1.19%),1.02%,(0.30%),0.48%,(0.87%),(0.16%),(0.44%)
23-Jan-2023,(0.51%),0.73%,1.54%,0.16%,1.47%,0.61%,0.50%
24-Jan-2023,(0.59%),1.34%,0.63%,(0.11%),0.25%,0.33%,(0.00%)
25-Jan-2023,(1.38%),(2.76%),(0.19%),(1.77%),(0.57%),(1.43%),(1.25%)
27-Jan-2023,(1.90%),(1.99%),(0.55%),(4.45%),(1.55%),(1.98%),(1.61%)
30-Jan-2023,0.96%,(0.10%),0.66%,0.77%,1.29%,0.66%,0.25%
31-Jan-2023,(0.25%),(0.66%),(2.18%),1.02%,(0.33%),(0.56%),0.07%
01-Feb-2023,(0.59%),1.50%,1.48%,1.93%,1.13%,0.98%,(0.26%)
02-Feb-2023,(0.55%),(1.49%),1.53%,1.17%,2.10%,0.29%,(0.03%)
03-Feb-2023,0.09%,3.46%,0.63%,0.69%,0.99%,1.26%,1.38%
06-Feb-2023,(0.75%),(0.43%),(0.64%),(1.17%),(1.85%),(0.88%),(0.50%)
07-Feb-2023,(0.24%),0.15%,0.36%,(0.11%),(0.47%),(0.04%),(0.24%)
08-Feb-2023,2.00%,(0.01%),1.37%,0.74%,1.80%,1.15%,0.85%
09-Feb-2023,0.17%,(0.21%),0.59%,0.20%,1.67%,0.39%,0.12%
10-Feb-2023,(0.82%),0.40%,(0.09%),(0.81%),(0.52%),(0.32%),(0.21%)
13-Feb-2023,(0.57%),0.08%,(1.56%),(0.37%),(2.56%),(0.87%),(0.48%)
14-Feb-2023,2.36%,0.93%,0.51%,1.72%,1.65%,1.43%,0.89%
15-Feb-2023,2.26%,(0.20%),0.59%,0.64%,0.24%,0.76%,0.48%
16-Feb-2023,(0.08%),(0.36%),1.06%,(0.16%),0.30%,0.12%,0.11%
17-Feb-2023,0.42%,(0.50%),(1.60%),(0.78%),(1.12%),(0.63%),(0.51%)
20-Feb-2023,(1.06%),(0.94%),(0.40%),(1.22%),0.55%,(0.68%),(0.56%)
21-Feb-2023,0.82%,0.37%,(1.04%),0.25%,(0.81%),0.00%,(0.10%)
22-Feb-2023,(2.27%),(1.96%),(1.43%),(1.75%),(1.12%),(1.77%),(1.53%)
23-Feb-2023,(0.48%),(0.68%),0.36%,0.06%,(0.71%),(0.32%),(0.25%)
24-Feb-2023,0.68%,(0.89%),(0.39%),(0.01%),(0.00%),(0.13%),(0.26%)
27-Feb-2023,(0.66%),0.25%,(2.02%),1.99%,(2.67%),(0.61%),(0.42%)
28-Feb-2023,(1.91%),0.42%,(0.57%),(0.18%),(1.44%),(0.73%),(0.51%)
01-Mar-2023,0.92%,(0.10%),2.20%,0.17%,0.57%,0.76%,0.85%
02-Mar-2023,(0.76%),(0.85%),(1.90%),(0.27%),(1.60%),(1.06%),(0.74%)
03-Mar-2023,2.55%,1.98%,0.62%,1.70%,0.49%,1.59%,1.57%
06-Mar-2023,0.98%,0.71%,0.89%,(0.09%),1.90%,0.87%,0.67%
08-Mar-2023,0.36%,0.20%,0.55%,0.50%,(0.98%),0.18%,0.24%
09-Mar-2023,(2.40%),0.01%,(1.58%),(1.85%),(0.82%),(1.32%),(0.93%)
10-Mar-2023,(1.55%),(2.58%),(0.18%),(1.55%),(0.60%),(1.39%),(1.00%)
13-Mar-2023,(1.64%),(1.27%),(1.47%),(1.69%),(2.48%),(1.65%),(1.49%)
14-Mar-2023,(0.37%),(0.27%),(2.04%),0.24%,(1.05%),(0.69%),(0.65%)
15-Mar-2023,(1.71%),(1.44%),(0.50%),(0.54%),(0.02%),(0.97%),(0.42%)
16-Mar-2023,(0.50%),0.65%,(0.43%),(0.24%),(1.10%),(0.25%),0.08%
17-Mar-2023,(0.13%),1.34%,(0.18%),1.50%,1.18%,0.67%,0.67%
20-Mar-2023,(0.98%),(0.69%),(1.13%),0.02%,(1.20%),(0.82%),(0.65%)
21-Mar-2023,3.11%,1.13%,(1.18%),1.91%,(0.92%),0.97%,0.70%
22-Mar-2023,0.30%,(0.23%),0.80%,0.92%,(0.10%),0.30%,0.26%
23-Mar-2023,(1.27%),(0.80%),(0.20%),(0.55%),(1.06%),(0.80%),(0.44%)
24-Mar-2023,(1.98%),(0.16%),(0.13%),(0.36%),0.44%,(0.55%),(0.77%)
27-Mar-2023,1.55%,0.44%,0.06%,(0.43%),0.60%,0.53%,0.24%
28-Mar-2023,0.47%,0.81%,(0.20%),0.71%,(0.82%),0.26%,(0.20%)
29-Mar-2023,(0.59%),0.48%,0.74%,(0.44%),0.43%,0.12%,0.76%
31-Mar-2023,4.31%,1.37%,2.13%,3.08%,3.21%,2.79%,1.63%
03-Apr-2023,0.02%,0.06%,(0.18%),0.75%,(1.20%),(0.08%),0.22%
