Risk & Performance Analysis,,,,,,
,,,,,,
Annualized Metrics,,,,,,
Asset,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,,
Reliance Industries,10.1%,20.1%,0.18,—,,
HDFC Bank,8.2%,18.5%,0.09,—,,
TCS,2.4%,19.8%,(0.21),—,,
ICICI Bank,15.1%,17.6%,0.49,—,,
Infosys,4.9%,23.7%,(0.07),—,,
Portfolio,9.1%,13.4%,0.20,(14.7%),,
NIFTY 50,12.8%,12.0%,0.53,(15.8%),,
,,,,,,
Cumulative Performance & Drawdown,,,,,,
Date,Portfolio Index,Portfolio Running Peak,Portfolio Drawdown,NIFTY 50 Index,NIFTY Running Peak,NIFTY 50 Drawdown
02-Jan-2023,100.00,100.00,-,100.00,100.00,-
03-Jan-2023,100.25,100.25,-,100.19,100.19,-
04-Jan-2023,99.14,100.25,(1.11%),99.15,100.19,(1.04%)
05-Jan-2023,98.39,100.25,(1.86%),98.87,100.19,(1.32%)
06-Jan-2023,97.52,100.25,(2.73%),98.14,100.19,(2.05%)
09-Jan-2023,99.22,100.25,(1.03%),99.47,100.19,(0.72%)
10-Jan-2023,97.85,100.25,(2.40%),98.44,100.19,(1.75%)
11-Jan-2023,98.24,100.25,(2.01%),98.34,100.19,(1.85%)
12-Jan-2023,97.87,100.25,(2.38%),98.14,100.19,(2.05%)
13-Jan-2023,98.53,100.25,(1.71%),98.68,100.19,(1.51%)
16-Jan-2023,98.35,100.25,(1.90%),98.34,100.19,(1.85%)
17-Jan-2023,99.46,100.25,(0.80%),99.21,100.19,(0.98%)
18-Jan-2023,100.05,100.25,(0.20%),99.82,100.19,(0.37%)
19-Jan-2023,99.91,100.25,(0.34%),99.51,100.19,(0.68%)
20-Jan-2023,99.75,100.25,(0.50%),99.07,100.19,(1.12%)
23-Jan-2023,100.36,100.36,-,99.57,100.19,(0.63%)
24-Jan-2023,100.70,100.70,-,99.57,100.19,(0.63%)
25-Jan-2023,99.26,100.70,(1.43%),98.32,100.19,(1.87%)
27-Jan-2023,97.29,100.70,(3.38%),96.74,100.19,(3.45%)
30-Jan-2023,97.93,100.70,(2.75%),96.99,100.19,(3.20%)
31-Jan-2023,97.38,100.70,(3.29%),97.06,100.19,(3.13%)
