Portfolio Return & Risk Analyzer — Dashboard,,,,,,,,,,,,,,,,,,,,,,,
5-stock Indian equity portfolio | Actual historical adjusted stock prices | NIFTY 50 benchmark | 02-Jan-2023 to 31-Dec-2025,,,,,,,,,,,,Asset,Weight,,Asset,Return,Volatility,,Month,Portfolio Index,NIFTY 50 Index,Portfolio Drawdown,NIFTY 50 Drawdown
,,,,,,,,,,,,Reliance Industries,25.0%,,Reliance Industries,10.1%,20.1%,,Jan-23,100.00,100.00,-,-
Annualized Return,,,Annualized Volatility,,,Sharpe Ratio,,,Maximum Drawdown,,,HDFC Bank,25.0%,,HDFC Bank,8.2%,18.5%,,Jan-23,97.93,96.99,(2.7%),(3.2%)
9.1%,,,13.4%,,,0.20,,,(14.7%),,,TCS,20.0%,,TCS,2.4%,19.8%,,Feb-23,97.46,95.58,(4.1%),(4.6%)
,,,,,,,,,,,,ICICI Bank,15.0%,,ICICI Bank,15.1%,17.6%,,Mar-23,93.22,93.34,(8.2%),(6.8%)
,,,,,,,,,,,,Infosys,15.0%,,Infosys,4.9%,23.7%,,Apr-23,97.19,99.27,(4.3%),(0.9%)
,,,,,,,,,,,,,,,Portfolio,9.1%,13.4%,,May-23,99.24,101.66,(2.3%),-
,,,,,,,,,,,,,,,,,,,Jun-23,98.41,102.57,(3.1%),(1.0%)
,,,,,,,,,,,,,,,,,,,Jul-23,104.26,108.50,(2.7%),(1.2%)
,,,,,,,,,,,,,,,,,,,Aug-23,103.35,106.57,(3.6%),(2.9%)
,,,,,,,,,,,,,,,,,,,Sep-23,106.83,110.96,(0.3%),-
,,,,,,,,,,,,,,,,,,,Oct-23,101.58,108.43,(5.2%),(2.3%)
,,,,,,,,,,,,,,,,,,,Nov-23,100.45,108.12,(6.3%),(2.6%)
,,,,,,,,,,,,,,,,,,,Dec-23,106.12,115.00,(1.3%),(0.3%)
,,,,,,,,,,,,,,,,,,,Jan-24,110.48,118.96,(1.0%),(0.6%)
,,,,,,,,,,,,,,,,,,,Feb-24,112.89,119.70,(1.5%),(1.4%)
,,,,,,,,,,,,,,,,,,,Mar-24,113.91,122.72,(1.1%),(0.7%)
,,,,,,,,,,,,,,,,,,,Apr-24,114.57,124.43,(0.6%),(0.1%)
,,,,,,,,,,,,,,,,,,,May-24,110.90,121.20,(3.7%),(3.1%)
,,,,,,,,,,,,,,,,,,,Jun-24,116.68,127.99,-,-
,,,,,,,,,,,,,,,,,,,Jul-24,124.37,133.65,(0.6%),(0.0%)
,,,,,,,,,,,,,,,,,,,Aug-24,122.08,132.19,(3.9%),(3.8%)
,,,,,,,,,,,,,,,,,,,Sep-24,129.28,138.91,(0.0%),-
,,,,,,,,,,,,,,,,,,,Sep-24,128.82,141.84,(2.0%),(1.5%)
,,,,,,,,,,,,,,,,,,,Oct-24,124.97,133.75,(4.9%),(7.2%)
,,,,,,,,,,,,,,,,,,,Nov-24,127.89,133.40,(2.7%),(7.4%)
,,,,,,,,,,,,,,,,,,,Dec-24,124.81,130.39,(5.1%),(9.5%)
,,,,,,,,,,,,,,,,,,,Jan-25,122.34,127.25,(6.9%),(11.7%)
,,,,,,,,,,,,,,,,,,,Feb-25,121.14,126.17,(7.8%),(12.4%)
,,,,,,,,,,,,,,,,,,,Mar-25,117.86,125.88,(10.3%),(12.6%)
,,,,,,,,,,,,,,,,,,,Apr-25,120.53,132.58,(8.3%),(8.0%)
,,,,,,,,,,,,,,,,,,,May-25,127.40,137.08,(3.1%),(4.8%)
,,,,,,,,,,,,,,,,,,,Jun-25,128.13,137.09,(2.5%),(4.8%)
,,,,,,,,,,,,,,,,,,,Jul-25,128.41,138.21,(2.3%),(4.1%)
,,,,,,,,,,,,,,,,,,,Aug-25,121.94,133.88,(7.3%),(7.1%)
,,,,,,,,,,,,,,,,,,,Sep-25,121.43,136.14,(7.7%),(5.5%)
,,,,,,,,,,,,,,,,,,,Oct-25,121.75,137.98,(7.4%),(4.2%)
,,,,,,,,,,,,,,,,,,,Nov-25,123.93,140.67,(5.7%),(2.4%)
,,,,,,,,,,,,,,,,,,,Dec-25,129.58,142.80,(1.5%),(0.9%)
,,,,,,,,,,,,,,,,,,,Dec-25,129.94,143.59,(1.6%),(0.3%)
